id_number,sentence,item,condition,voice,frequency_syn,synonym,judgment,len
313,314,Il voto ha influenzato il militante.,cb,AI,active,high,cb_cc_high,impossible,6
314,315,Il voto è stato influenzato dal militante.,cb,AI,passive,high,cb_cc_high,possible,7
315,316,Il militante è stato influenzato dal voto.,cb,AI,passive,high,cb_cc_high,impossible,7
316,317,L’attivista ha pregiudicato il voto.,cc,AI,active,low,cb_cc_low,possible,5
317,318,Il voto ha pregiudicato l’attivista.,cc,AI,active,low,cb_cc_low,impossible,5
318,319,Il voto è stato pregiudicato dall’attivista.,cc,AI,passive,low,cb_cc_low,possible,6
319,320,L’attivista è stato pregiudicato dal voto.,cc,AI,passive,low,cb_cc_low,impossible,6
320,321,L’hostess ha tirato la valigia.,cd,AI,active,high,cd_ce_high,possible,5
321,322,La valigia ha tirato l’hostess.,cd,AI,active,high,cd_ce_high,impossible,5
322,323,La valigia è stata tirata dall’hostess.,cd,AI,passive,high,cd_ce_high,possible,6
323,324,L’hostess è stata tirata dalla valigia.,cd,AI,passive,high,cd_ce_high,impossible,6
324,325,L’assistente di volo ha trascinato il bagaglio.,ce,AI,active,low,cd_ce_low,possible,7
325,326,Il bagaglio ha trascinato l’assistente di volo.,ce,AI,active,low,cd_ce_low,impossible,7
326,327,Il bagaglio è stato trascinato dall’assistente di volo.,ce,AI,passive,low,cd_ce_low,possible,8
327,328,L’assistente di volo è stato trascinato dal bagaglio.,ce,AI,passive,low,cd_ce_low,impossible,8
328,329,Il deputato ha pronunciato il discorso.,cf,AI,active,low,cf_cg_low,possible,6
329,330,Il discorso ha pronunciato il deputato.,cf,AI,active,low,cf_cg_low,impossible,6
330,331,Il discorso è stato pronunciato dal deputato.,cf,AI,passive,low,cf_cg_low,possible,7
331,332,Il deputato è stato pronunciato dal discorso.,cf,AI,passive,low,cf_cg_low,impossible,7
332,333,Il rappresentante ha fatto l’intervento.,cg,AI,active,high,cf_cg_high,possible,5
333,334,L’intervento ha fatto il rappresentante.,cg,AI,active,high,cf_cg_high,impossible,5
334,335,L’intervento è stato fatto dal rappresentante.,cg,AI,passive,high,cf_cg_high,possible,6
335,336,Il rappresentante è stato fatto dall’intervento.,cg,AI,passive,high,cf_cg_high,impossible,6
336,337,Lo carabiniere ha ispezionato la proprietà.,ch,AI,active,high,ch_ci_high,possible,6
337,338,La proprietà ha ispezionato lo carabiniere.,ch,AI,active,high,ch_ci_high,impossible,6
338,339,La proprietà è stata ispezionata dallo carabiniere.,ch,AI,passive,high,ch_ci_high,possible,7
339,340,Lo carabiniere è stato ispezionato dalla proprietà.,ch,AI,passive,high,ch_ci_high,impossible,7
340,341,Il poliziotto ha esaminato l’immobile.,ci,AI,active,low,ch_ci_low,possible,5
341,342,L’immobile ha esaminato il poliziotto.,ci,AI,active,low,ch_ci_low,impossible,5
342,343,L’immobile è stato esaminato dal poliziotto.,ci,AI,passive,low,ch_ci_low,possible,6
343,344,Il poliziotto è stato esaminato dall’immobile.,ci,AI,passive,low,ch_ci_low,impossible,6
344,345,La attrice ha firmato la fotografia.,cj,AI,active,high,cj_ck_high,possible,6
345,346,La fotografia ha firmato la attrice.,cj,AI,active,high,cj_ck_high,impossible,6
346,347,La fotografia è stata firmata dalla attrice.,cj,AI,passive,high,cj_ck_high,possible,7
347,348,La attrice è stata firmata dalla fotografia.,cj,AI,passive,high,cj_ck_high,impossible,7
348,349,La star ha autografato l’immagine.,ck,AI,active,low,cj_ck_low,possible,5
349,350,L’immagine ha autografato la star.,ck,AI,active,low,cj_ck_low,impossible,5
350,351,L’immagine è stata autografata dalla star.,ck,AI,passive,low,cj_ck_low,possible,6
351,352,La star è stata autografata dall’immagine.,ck,AI,passive,low,cj_ck_low,impossible,6
352,353,La tata ha educato il bambino.,cl,AA,active,high,cl_cm_high,plausible,6
353,354,Il bambino ha educato la tata.,cl,AA,active,high,cl_cm_high,implausible,6
354,355,Il bambino è stato educato dalla tata.,cl,AA,passive,high,cl_cm_high,plausible,7
355,356,La tata è stata educata dal bambino.,cl,AA,passive,high,cl_cm_high,implausible,7
356,357,La governante ha istruito il ragazzo.,cm,AA,active,low,cl_cm_low,plausible,6
357,358,Il ragazzo ha istruito la governante.,cm,AA,active,low,cl_cm_low,implausible,6
358,359,Il ragazzo è stato istruito dalla governante.,cm,AA,passive,low,cl_cm_low,plausible,7
359,360,La governante è stata istruita dal ragazzo.,cm,AA,passive,low,cl_cm_low,implausible,7
360,361,Il ricattatore ha minacciato il senatore.,cn,AA,active,high,cn_co_high,plausible,6
361,362,Il senatore ha minacciato il ricattatore.,cn,AA,active,high,cn_co_high,implausible,6
362,363,Il senatore è stato minacciato dal ricattatore.,cn,AA,passive,high,cn_co_high,plausible,7
363,364,Il ricattatore è stato minacciato dal senatore.,cn,AA,passive,high,cn_co_high,implausible,7
364,365,L'estorsore ha intimorito il legislatore.,co,AA,active,low,cn_co_low,plausible,5
365,366,Il legislatore ha intimorito  l'estorsore.,co,AA,active,low,cn_co_low,implausible,5
366,367,Il legislatore è stato intimorito dall'estorsore.,co,AA,passive,low,cn_co_low,plausible,6
367,368,L'estorsore è stato intimorito dal legislatore.,co,AA,passive,low,cn_co_low,implausible,6
368,369,L’artista ha ritratto il filosofo.,cp,AA,active,high,cp_cq_high,plausible,5
369,370,Il filosofo ha ritratto l’artista.,cp,AA,active,high,cp_cq_high,implausible,5
370,371,Il filosofo è stato ritratto dall’artista.,cp,AA,passive,high,cp_cq_high,plausible,6
371,372,L’artista è stato ritratto dal filosofo.,cp,AA,passive,high,cp_cq_high,implausible,6
372,373,Il pittore ha raffigurato il pensatore.,cq,AA,active,low,cp_cq_low,plausible,6
373,374,Il pensatore ha raffigurato il pittore.,cq,AA,active,low,cp_cq_low,implausible,6
374,375,Il pensatore è stato raffigurato dal pittore.,cq,AA,passive,low,cp_cq_low,plausible,7
375,376,Il pittore è stato raffigurato dal pensatore.,cq,AA,passive,low,cp_cq_low,implausible,7
376,377,Il meccanico ha rimproverato l’apprendista.,cr,AA,active,high,cr_cs_high,plausible,5
377,378,L’apprendista ha rimproverato il meccanico.,cr,AA,active,high,cr_cs_high,implausible,5
378,379,L’apprendista è stato rimproverato dal meccanico.,cr,AA,passive,high,cr_cs_high,plausible,6
379,380,Il meccanico è stato rimproverato dall’apprendista.,cr,AA,passive,high,cr_cs_high,implausible,6
380,381,Il tecnico ha redarguito l’assistente.,cs,AA,active,low,cr_cs_low,plausible,5
381,382,L’assistente ha redarguito il tecnico.,cs,AA,active,low,cr_cs_low,implausible,5
382,383,L’assistente è stato redarguito dal tecnico.,cs,AA,passive,low,cr_cs_low,plausible,6
383,384,Il tecnico è stato redarguito dall’assistente.,cs,AA,passive,low,cr_cs_low,implausible,6
384,385,La fata ha incantato il troll.,ct,AA,active,high,ct_cu_high,plausible,6
385,386,Il troll ha incantato la fata.,ct,AA,active,high,ct_cu_high,implausible,6
386,387,Il troll è stato incantato dalla fata.,ct,AA,passive,high,ct_cu_high,plausible,7
387,388,La fata è stata incantata dal troll.,ct,AA,passive,high,ct_cu_high,implausible,7
388,389,La fata ha ipnotizzato l’orco.,cu,AA,active,low,ct_cu_low,plausible,5
389,390,L’orco ha ipnotizzato la fata.,cu,AA,active,low,ct_cu_low,implausible,5
390,391,L’orco è stato ipnotizzato dalla fata.,cu,AA,passive,low,ct_cu_low,plausible,6
391,392,La fata è stata ipnotizzata dall’orco.,cu,AA,passive,low,ct_cu_low,implausible,6
392,393,L'inserviente ha assistito il dentista.,cv,AA,active,,,plausible,5
393,394,Il dentista ha assistito l'inserviente.,cv,AA,active,,,implausible,5
394,395,Il dentista è stato assistito dall'inserviente.,cv,AA,passive,,,plausible,6
395,396,L'inserviente è stato assistito dal dentista.,cv,AA,passive,,,implausible,6
396,397,L’infermiera ha aiutato l’ortodontista.,cw,AA,active,,,plausible,4
397,398,L’ortodontista ha aiutato l’infermiera.,cw,AA,active,,,implausible,4
398,399,L’ortodontista è stato aiutato dall’infermiera.,cw,AA,passive,,,plausible,5
399,400,L’infermiera è stata aiutata dall’ortodontista.,cw,AA,passive,,,implausible,5
400,401,Il proprietario ha sfrattato l’inquilino.,cx,AA,active,,,plausible,5
401,402,L’inquilino ha sfrattato il proprietario.,cx,AA,active,,,implausible,5
402,403,L’inquilino è stato sfrattato dal proprietario.,cx,AA,passive,,,plausible,6
403,404,Il proprietario è stato sfrattato dall’inquilino.,cx,AA,passive,,,implausible,6
404,405,Il commentatore politico ha attaccato il conservatore.,cy,AA,active,high,cy_cz_high,plausible,7
405,406,Il conservatore ha attaccato il commentatore politico.,cy,AA,active,high,cy_cz_high,implausible,7
406,407,Il conservatore è stato attaccato dal commentatore politico.,cy,AA,passive,high,cy_cz_high,plausible,8
407,408,Il commentatore politico è stato attaccato dal conservatore.,cy,AA,passive,high,cy_cz_high,implausible,8
408,409,Il recensore ha criticato l’uomo di destra.,cz,AA,active,low,cy_cz_low,plausible,7
409,410,L’uomo di destra ha criticato il recensore.,cz,AA,active,low,cy_cz_low,implausible,7
410,411,L’uomo di destra è stato criticato dal recensore.,cz,AA,passive,low,cy_cz_low,plausible,8
411,412,Il recensore è stato criticato dall’uomo di destra.,cz,AA,passive,low,cy_cz_low,implausible,8
412,413,L’ammiratore ha assillato il regista.,da,AA,active,low,da_db_low,plausible,5
413,414,Il regista ha assillato l’ammiratore.,da,AA,active,low,da_db_low,implausible,5
414,415,Il regista è stato assillato dall’ammiratore.,da,AA,passive,low,da_db_low,plausible,6
415,416,L’ammiratore è stato assillato dal regista.,da,AA,passive,low,da_db_low,implausible,6
416,417,Il fan ha importunato il regista.,db,AA,active,high,da_db_high,plausible,6
417,418,Il regista ha importunato il fan.,db,AA,active,high,da_db_high,implausible,6
418,419,Il regista è stato importunato dal fan.,db,AA,passive,high,da_db_high,plausible,7
419,420,Il fan è stato importunato dal regista.,db,AA,passive,high,da_db_high,implausible,7
420,421,Il paramedico ha rianimato il giovane.,dc,AA,active,low,dc_dd_low,plausible,6
421,422,Il giovane ha rianimato il paramedico.,dc,AA,active,low,dc_dd_low,implausible,6
422,423,Il giovane è stato rianimato dal paramedico.,dc,AA,passive,low,dc_dd_low,plausible,7
423,424,Il paramedico è stato rianimato dal giovane.,dc,AA,passive,low,dc_dd_low,implausible,7
424,425,Il soccorritore ha rianimato il ragazzo.,dd,AA,active,high,dc_dd_high,plausible,6
425,426,Il ragazzo ha rianimato il soccorritore.,dd,AA,active,high,dc_dd_high,implausible,6
426,427,Il ragazzo è stato rianimato dal soccorritore.,dd,AA,passive,high,dc_dd_high,plausible,7
427,428,Il soccorritore è stato rianimato dal ragazzo.,dd,AA,passive,high,dc_dd_high,implausible,7
428,429,Il burlone ha ingannato il pubblicitario.,de,AA,active,high,de_df_high,plausible,6
429,430,Il pubblicitario ha ingannato il burlone.,de,AA,active,high,de_df_high,implausible,6
430,431,Il pubblicitaroi è stato ingannato dal burlone.,de,AA,passive,high,de_df_high,plausible,7
431,432,Il burlone è stato ingannato dal pubblicitario.,de,AA,passive,high,de_df_high,implausible,7
432,433,Il giullare ha imbrogliato il distributore.,df,AA,active,low,de_df_low,plausible,6
433,434,Il distributore ha imbrogliato il giullare.,df,AA,active,low,de_df_low,implausible,6
434,435,Il distributore è stato imbrogliato dal giullare.,df,AA,passive,low,de_df_low,plausible,7
435,436,Il giullare è stato imbrogliato dal distributore.,df,AA,passive,low,de_df_low,implausible,7
436,437,Il playboy ha sedotto la damigella.,dg,AA,active,high,dg_dh_high,plausible,6
437,438,La damigella ha sedotto il playboy.,dg,AA,active,high,dg_dh_high,implausible,6
438,439,La damigella è stata sedotta dal playboy.,dg,AA,passive,high,dg_dh_high,plausible,7
439,440,Il playboy è stato sedotto dalla damigella.,dg,AA,passive,high,dg_dh_high,implausible,7
440,441,Il donnaiolo ha corteggiato la fanciulla.,dh,AA,active,low,dg_dh_low,plausible,6
441,442,La fanciulla ha corteggiato il donnaiolo.,dh,AA,active,low,dg_dh_low,implausible,6
442,443,La fanciulla è stata corteggiata dal donnaiolo.,dh,AA,passive,low,dg_dh_low,plausible,7
443,444,Il donnaiolo è stato corteggiato dalla fanciulla.,dh,AA,passive,low,dg_dh_low,implausible,7
444,445,Il nomade ha apprezzato il sacerdote.,di,AA,active,low,di_dj_low,plausible,6
445,446,Il sacerdote ha apprezzato il nomade.,di,AA,active,low,di_dj_low,implausible,6
446,447,Il sacerdote è stato apprezzato dal nomade.,di,AA,passive,low,di_dj_low,plausible,7
447,448,Il nomade è stato apprezzato dal sacerdote.,di,AA,passive,low,di_dj_low,implausible,7
448,449,Il vagabondo ha venerato il prete.,dj,AA,active,high,di_dj_high,plausible,6
449,450,Il prete ha venerato il vagabondo.,dj,AA,active,high,di_dj_high,implausible,6
450,451,Il prete è stato venerato dal vagabondo.,dj,AA,passive,high,di_dj_high,plausible,7
451,452,Il vagabondo è stato venerato dal prete.,dj,AA,passive,high,di_dj_high,implausible,7
452,453,Il sicario ha freddato lo statista.,dk,AA,active,low,dk_dl_low,plausible,6
453,454,Lo statista ha freddato il sicario.,dk,AA,active,low,dk_dl_low,implausible,6
454,455,Lo statista è stato freddato dal sicario.,dk,AA,passive,low,dk_dl_low,plausible,7
455,456,Il sicario è stato freddato dallo statista.,dk,AA,passive,low,dk_dl_low,implausible,7
456,457,L'assassino ha ucciso il politico.,dl,AA,active,high,dk_dl_high,plausible,5
457,458,Il politico ha ucciso l'assassino.,dl,AA,active,high,dk_dl_high,implausible,5
458,459,Il politico è stato ucciso dall'assassino.,dl,AA,passive,high,dk_dl_high,plausible,6
459,460,L'assassino è stato ucciso dal politico.,dl,AA,passive,high,dk_dl_high,implausible,6
460,461,L'anziano ha pagato il commesso.,dm,AA,active,high,dm_dn_high,plausible,5
461,462,Il commesso ha pagato l'anziano. ,dm,AA,active,high,dm_dn_high,implausible,5
462,463,Il commesso è stato pagato dall'anziano.,dm,AA,passive,high,dm_dn_high,plausible,6
463,464,L'anziano è stato pagato dal commesso.,dm,AA,passive,high,dm_dn_high,implausible,6
464,465,L'attempato ha retribuito il cassiere.,dn,AA,active,low,dm_dn_low,plausible,5
465,466,Il cassiere ha retribuito l'attempato.,dn,AA,active,low,dm_dn_low,implausible,5
466,467,Il cassiere è stato retribuito dall'attempato.,dn,AA,passive,low,dm_dn_low,plausible,6
467,468,L'attempato è stato retribuito dal cassiere.,dn,AA,passive,low,dm_dn_low,implausible,6
468,469,Il mediatore ha salvato l'ostaggio.,do,AA,active,high,do_dp_high,plausible,5
469,470,L'ostaggio ha salvato il mediatore.,do,AA,active,high,do_dp_high,implausible,5
470,471,L'ostaggio è stato salvato dal mediatore.,do,AA,passive,high,do_dp_high,plausible,6
471,472,Il mediatore è stato salvato dall'ostaggio.,do,AA,passive,high,do_dp_high,implausible,6
472,473,Il negoziatore ha liberato il prigioniero.,dp,AA,active,low,do_dp_low,plausible,6
473,474,Il prigioniero ha liberato il negoziatore.,dp,AA,active,low,do_dp_low,implausible,6
474,475,Il prigioniero è stato liberato dal negoziatore.,dp,AA,passive,low,do_dp_low,plausible,7
475,476,Il negoziatore è stato liberato dal prigioniero.,dp,AA,passive,low,do_dp_low,implausible,7
476,477,L'investigatore ha trovato l'aggressore.,dq,AA,active,high,dq_dr_high,plausible,4
477,478,L'aggressore ha trovato l'investigatore.,dq,AA,active,high,dq_dr_high,implausible,4
478,479,L'aggressore è stato trovato dall'investigatore.,dq,AA,passive,high,dq_dr_high,plausible,5
479,480,L'investigatore è stato trovato dall'aggressore.,dq,AA,passive,high,dq_dr_high,implausible,5
480,481,Il detective ha localizzato l'assalitore.,dr,AA,active,low,dq_dr_low,plausible,5
481,482,L'assalitore ha localizzato il detective.,dr,AA,active,low,dq_dr_low,implausible,5
482,483,L'assalitore è stato localizzato dal detective.,dr,AA,passive,low,dq_dr_low,plausible,6
483,484,Il detective è stato localizzato dall'assalitore.,dr,AA,passive,low,dq_dr_low,implausible,6
484,485,L'artigiano ha formato l'apprendista.,ds,AA,active,high,ds_dt_high,plausible,4
485,486,L'apprendista ha formato l'artigiano.,ds,AA,active,high,ds_dt_high,implausible,4
486,487,L'apprendista è stato formato dall'artigiano.,ds,AA,passive,high,ds_dt_high,plausible,5
487,488,L'artigiano è stato formato dall'apprendista.,ds,AA,passive,high,ds_dt_high,implausible,5
488,489,L'orefice ha erudito al tirocinante.,dt,AA,active,low,ds_dt_low,plausible,5
489,490,Il tirocinante ha erudito l'orefice.,dt,AA,active,low,ds_dt_low,implausible,5
490,491,Il tirocinante è stato erudito dall'orefice.,dt,AA,passive,low,ds_dt_low,plausible,6
491,492,L'orefice è stato erudito dal tirocinante.,dt,AA,passive,low,ds_dt_low,implausible,6
492,493,L'allenatore ha sgridato il calciatore.,du,AA,active,high,du_dv_high,plausible,5
493,494,Il calciatore ha sgridato l'allenatore.,du,AA,active,high,du_dv_high,implausible,5
494,495,Il calciatore è stato sgridato dall'allenatore.,du,AA,passive,high,du_dv_high,plausible,6
495,496,L'allenatore è stato sgridato dal calciatore.,du,AA,passive,high,du_dv_high,implausible,6
496,497,L'istruttore ha rimbrottato il giocatore.,dv,AA,active,low,du_dv_low,plausible,5
497,498,Il giocatore ha rimbrottato l'istruttore.,dv,AA,active,low,du_dv_low,implausible,5
498,499,Il giocatore è stato rimbrottato dall'istruttore.,dv,AA,passive,low,du_dv_low,plausible,6
499,500,L'istruttore è stato rimbrottato dal giocatore.,dv,AA,passive,low,du_dv_low,implausible,6
500,501,Il relatore ha affascinato il pubblico.,dw,AA,active,high,dw_dx_high,plausible,6
501,502,Il pubblico ha affascinato il relatore.,dw,AA,active,high,dw_dx_high,implausible,6
502,503,Il pubblico è stato affascinato dal relatore.,dw,AA,passive,high,dw_dx_high,plausible,7
503,504,Il relatore è stato affascinato dal pubblico.,dw,AA,passive,high,dw_dx_high,implausible,7
504,505,L'oratore ha incantato gli spettatori.,dx,AA,active,low,dw_dx_low,plausible,5
505,506,Gli spettatori hanno incantato l'oratore.,dx,AA,active,low,dw_dx_low,implausible,5
506,507,Gli spettatori sono stati incantati dall'oratore.,dx,AA,passive,low,dw_dx_low,plausible,6
507,508,L'oratore è stato incantato dagli spettatori.,dx,AA,passive,low,dw_dx_low,implausible,6
508,509,Il fuoriclasse ha scioccato il cugino.,dy,AA,active,high,dy_dz_high,plausible,6
509,510,Il cugino ha scioccato il fuoriclasse.,dy,AA,active,high,dy_dz_high,implausible,6
510,511,Il cugino è stato scioccato dal fuoriclasse.,dy,AA,passive,high,dy_dz_high,plausible,7
511,512,Il fuoriclasse è stato scioccato dal cugino.,dy,AA,passive,high,dy_dz_high,implausible,7
512,513,Il visionario ha sconcertato il parente.,dz,AA,active,low,dy_dz_low,plausible,6
513,514,Il parente ha sconcertato il visionario.,dz,AA,active,low,dy_dz_low,implausible,6
514,515,Il parente è stato sconcertato dal visionario.,dz,AA,passive,low,dy_dz_low,plausible,7
515,516,Il visionario è stato sconcertato dal parente.,dz,AA,passive,low,dy_dz_low,implausible,7
516,517,Il contrabbandiere ha corrotto il burocrate.,ea,AA,active,,,plausible,6
517,518,Il burocrate ha corrotto il contrabbandiere.,ea,AA,active,,,implausible,6
518,519,Il burocrate è stato corrotto dal contrabbandiere.,ea,AA,passive,,,plausible,7
519,520,Il contrabbandiere è stato corrotto dal burocrate.,ea,AA,passive,,,implausible,7
520,521,L'amateur ha infastidito il virtuoso.,eb,AA,active,low,ea_eb_low,plausible,5
521,522,Il virtuoso ha infastidito l'amateur.,eb,AA,active,low,ea_eb_low,implausible,5
522,523,Il virtuoso è stato infastidito dall'amateur.,eb,AA,passive,low,ea_eb_low,plausible,6
523,524,L'amateur è stato infastidito dal virtuoso.,eb,AA,passive,low,ea_eb_low,implausible,6
524,525,Il principiante ha irritato il maestro.,ec,AA,active,high,ea_eb_high,plausible,6
525,526,Il maestro ha irritato il principiante.,ec,AA,active,high,ea_eb_high,implausible,6
526,527,Il virtuoso è stato irritato dal maestro.,ec,AA,passive,high,ea_eb_high,plausible,7
527,528,Il principiante è stato irritato dal maestro.,ec,AA,passive,high,ea_eb_high,implausible,7
528,529,L'avvocato ha interrogato il passante.,ed,AA,active,high,ed_ee_high,plausible,5
529,530,Il passante ha interrogato l'avvocato.,ed,AA,active,high,ed_ee_high,implausible,5
530,531,Il passante è stato interrogato dall'avvocato.,ed,AA,passive,high,ed_ee_high,plausible,6
531,532,L'avvocato è stato interrogato dal passante.,ed,AA,passive,high,ed_ee_high,implausible,6
532,533,Il legale ha esaminato il testimone.,ee,AA,active,low,ed_ee_low,plausible,6
533,534,Il testimone ha esaminato il legale.,ee,AA,active,low,ed_ee_low,implausible,6
534,535,Il testimone è stato esaminato dal legale.,ee,AA,passive,low,ed_ee_low,plausible,7
535,536,Il legale è stato esaminato dal testimone.,ee,AA,passive,low,ed_ee_low,implausible,7
536,537,Il cantante ha deluso il fan.,ef,AA,active,high,ef_eg_high,plausible,6
537,538,Il fan ha deluso il cantante.,ef,AA,active,high,ef_eg_high,implausible,6
538,539,Il fan è stato deluso dal cantante.,ef,AA,passive,high,ef_eg_high,plausible,7
539,540,Il cantante è stato deluso dal fan.,ef,AA,passive,high,ef_eg_high,implausible,7
540,541,Il vocalista ha disilluso il conoscitore.,eg,AA,active,low,ef_eg_low,plausible,6
541,542,Il conoscitore ha disilluso il vocalista.,eg,AA,active,low,ef_eg_low,implausible,6
542,543,Il conoscitore è stato disilluso dal vocalista.,eg,AA,passive,low,ef_eg_low,plausible,7
543,544,Il vocalista è stato disilluso dal conoscitore.,eg,AA,passive,low,ef_eg_low,implausible,7
544,545,L'autista ha accompagnato il diplomatico.,eh,AA,active,high,eh_ei_high,plausible,5
545,546,Il diplomatico ha accompagnato l'autista.,eh,AA,active,high,eh_ei_high,implausible,5
546,547,Il diplomatico è stato accompagnato dall'autista.,eh,AA,passive,high,eh_ei_high,plausible,6
547,548,L'autista è stato accompagnato dal diplomatico.,eh,AA,passive,high,eh_ei_high,implausible,6
548,549,Lo chaffeur ha trasportato l'ambasciatore.,ei,AA,active,low,eh_ei_low,plausible,5
549,550,L'ambasciatore ha trasportato lo chaffeur.,ei,AA,active,low,eh_ei_low,implausible,5
550,551,L'ambasciatore è stato trasportato dallo chaffeur.,ei,AA,passive,low,eh_ei_low,plausible,6
551,552,Lo chaffeur è stato trasportato dall'ambasciatore.,ei,AA,passive,low,eh_ei_low,implausible,6
552,553,Il guardiano ha preso il prigioniero.,ej,AA,active,high,ej_ek_high,plausible,6
553,554,Il prigioniero ha preso il guardiano.,ej,AA,active,high,ej_ek_high,implausible,6
554,555,Il prigioniero è stato preso dal guardiano.,ej,AA,passive,high,ej_ek_high,plausible,7
555,556,Il guardiano è stato preso dal prigioniero.,ej,AA,passive,high,ej_ek_high,implausible,7
556,557,Il direttore ha catturato il detenuto.,ek,AA,active,low,ej_ek_low,plausible,6
557,558,Il detenuto ha catturato il direttore.,ek,AA,active,low,ej_ek_low,implausible,6
558,559,Il detenuto è stato catturato dal direttore.,ek,AA,passive,low,ej_ek_low,plausible,7
559,560,Il direttore è stato catturato dal detenuto.,ek,AA,passive,low,ej_ek_low,implausible,7
560,561,Il sarto ha vestito il ballerino.,el,AA,active,high,el_em_high,plausible,6
561,562,Il ballerino ha vestito il sarto.,el,AA,active,high,el_em_high,implausible,6
562,563,Il ballerino è stato vestito dal sarto.,el,AA,passive,high,el_em_high,plausible,7
563,564,Il sarto è stato abbigliato dal ballerino.,el,AA,passive,high,el_em_high,implausible,7
564,565,Il costumista ha abbigliato la danzatrice.,em,AA,active,low,el_em_high,plausible,6
565,566,La danzatrice ha abbigliato il costumista.,em,AA,active,low,el_em_high,implausible,6
566,567,La danzatrice è stata vestita dal costumista.,em,AA,passive,low,el_em_high,plausible,7
567,568,Il costumista è stato abbigliato dalla danzatrice.,em,AA,passive,low,el_em_high,implausible,7
568,569,Il preside ha rimproverato il ragazzo.,en,AA,active,high,en_eo_high,plausible,6
569,570,Il ragazzo ha rimproverato il preside.,en,AA,active,high,en_eo_high,implausible,6
570,571,Il ragazzo è stato rimproverato dal preside.,en,AA,passive,high,en_eo_high,plausible,7
571,572,Il preside è stato rimproverato dal ragazzo.,en,AA,passive,high,en_eo_high,implausible,7
572,573,Il dirigente scolastico ha rimbrottato lo studente.,eo,AA,active,low,en_eo_low,plausible,7
573,574,Lo studente ha rimbrottato il dirigente scolastico.,eo,AA,active,low,en_eo_low,implausible,7
574,575,Lo studente è stato rimbrottato dal dirigente scolastico.,eo,AA,passive,low,en_eo_low,plausible,8
575,576,Il dirigente scolastico è stato rimbrottato dallo studente.,eo,AA,passive,low,en_eo_low,implausible,8
576,577,Il signore ha scelto l'erede.,ep,AA,active,high,ep_eq_high,plausible,5
577,578,L'erede ha scelto il signore.,ep,AA,active,high,ep_eq_high,implausible,5
578,579,L'erede è stato scelto dal signore.,ep,AA,passive,high,ep_eq_high,plausible,6
579,580,Il signore è stato scelto dall'erede.,ep,AA,passive,high,ep_eq_high,implausible,6
580,581,Il barone ha nominato il successore.,eq,AA,active,low,ep_eq_low,plausible,6
581,582,Il successore ha nominato il barone.,eq,AA,active,low,ep_eq_low,implausible,6
582,583,Il successore è stato nominato dal barone.,eq,AA,passive,low,ep_eq_low,plausible,7
583,584,Il barone è stato nominato dal successore.,eq,AA,passive,low,ep_eq_low,implausible,7
584,585,Il poliziotto ha trattenuto il rivoltoso.,er,AA,active,high,er_es_high,plausible,6
585,586,Il rivoltoso ha trattenuto il poliziotto.,er,AA,active,high,er_es_high,implausible,6
586,587,Il rivoltoso è stato trattenuto dal poliziotto.,er,AA,passive,high,er_es_high,plausible,7
587,588,Il poliziotto è stato trattenuto dal rivoltoso.,er,AA,passive,high,er_es_high,implausible,7
588,589,Il gendarme ha sopraffatto il sovversivo.,es,AA,active,low,er_es_low,plausible,6
589,590,Il sovversivo ha sopraffatto il gendarme.,es,AA,active,low,er_es_low,implausible,6
590,591,Il sovversivo è stato sopraffatto dal gendarme.,es,AA,passive,low,er_es_low,plausible,7
591,592,Il gendarme è stato sopraffatto dal sovversivo.,es,AA,passive,low,er_es_low,implausible,7
592,593,Il papà ha coccolato il bambino.,et,AA,active,high,et_eu_high,plausible,6
593,594,Il bambino ha coccolato il papà.,et,AA,active,high,et_eu_high,implausible,6
594,595,Il bambino è stato coccolato dal papà.,et,AA,passive,high,et_eu_high,plausible,7
595,596,Il papà è stato coccolato dal bambino.,et,AA,passive,high,et_eu_high,implausible,7
596,597,Il padre ha viziato il neonato.,eu,AA,active,low,et_eu_low,plausible,6
597,598,Il neonato ha viziato il padre.,eu,AA,active,low,et_eu_low,implausible,6
598,599,Il neonato è stato viziato dal padre.,eu,AA,passive,low,et_eu_low,plausible,7
599,600,Il padre è stato viziato dal neonato.,eu,AA,passive,low,et_eu_low,implausible,7
600,601,Il re ha esiliato il ribelle.,ev,AA,active,high,ev_ew_high,plausible,6
601,602,Il ribelle ha esiliato il re.,ev,AA,active,high,ev_ew_high,implausible,6
602,603,Il ribelle è stato esiliato dal re.,ev,AA,passive,high,ev_ew_high,plausible,7
603,604,Il re è stato esiliato dal ribelle.,ev,AA,passive,high,ev_ew_high,implausible,7
604,605,Il monarca ha bandito l'insurgente.,ew,AA,active,low,ev_ew_low,plausible,5
605,606,L'insurgente ha bandito il monarca.,ew,AA,active,low,ev_ew_low,implausible,5
606,607,L'insurgente è stato bandito dal monarca.,ew,AA,passive,low,ev_ew_low,plausible,6
607,608,Il monarca è stato bandito dall'insurgente.,ew,AA,passive,low,ev_ew_low,implausible,6
608,609,Il ladro ha derubato il produttore.,ex,AA,active,high,ex_ey_high,plausible,6
609,610,Il produttore ha derubato il ladro.,ex,AA,active,high,ex_ey_high,implausible,6
610,611,Il produttore è stato derubato dal ladro.,ex,AA,passive,high,ex_ey_high,plausible,7
